序號/編號,縣市別代碼,地址-行政區域代碼,車站名稱,電梯,電扶梯,銀行ATM,哺集乳室,嬰兒尿布台,飲水機/飲水臺,充電站,自動售票機,廁所
72,63000,63000050,西門,"1.出口電梯：出口4（衡陽路）、出口6（中華路與成都路口）
2.月臺電梯：大廳層中間付費區，詢問處後方",付費區 、出口1、出口3、出口4、出口6、,非付費區，近出口1、出口3、出口5、出口6,非付費區，大廳層，近出口4,"非付費區，哺集乳室
付費區，親子無障礙廁所
付費區，男、女廁",出口4,非付費區，近出口2和近出口5,近出口1、出口2、出口5、出口6,付費區、大廳電梯後方
73,63000,63000050,善導寺,"1.出口電梯：出口3（忠孝東路1段58號巷口，臨忠孝東路1段南側）
2.月臺電梯：大廳層西側付費區，臨近詢問處",付費區、出口1、出口3、出口4、出口6,非付費區，近出口1、出口5,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",出口1,近出口1、出口3,近出口2、出口3、出口5、出口6,非付費區，近出口1、2、3
74,63000,63000030,忠孝新生,"1.出口電梯：
板南線：出口2（臨忠孝公園）、出口3（近忠孝東路3段）
中和新蘆線：無
2.月臺電梯：
板南線：大廳層付費區
中和新蘆線：大廳層付費區","板南線：付費區、出口1、出口2、出口3、出口4
中和新蘆線：付費區、出口5","板南線：非付費區，近出口1
中和新蘆線：非付費區，近出口5、出口6、出口7","中和新蘆線：
付費區，B1大廳層","板南線：
非付費區，親子無障礙廁所
非付費區，男、女廁
中和新蘆線：
付費區，哺集乳室
付費區，親子無障礙廁所
付費區，男、女廁","板南線：出口1
中和新蘆線：出口5","板南線：非付費區，近出口4
中和新蘆線：非付費區，近出口7","板南線：近出口1、出口2、出口3、出口4
中和新蘆線：非付費區，近出口6","板南線：非付費區，近出口1、2
中和新蘆線：付費區，大廳中間"
75,63000,63000030,忠孝敦化,"1.出口電梯：出口2（忠孝東路4段203號）
2.月臺電梯：大廳層東側付費區，臨近詢問處",付費區、出口2、出口3、出口5、出口7,非付費區，近出口1、出口4、出口5、出口8,非付費區，大廳層,"非付費區，親子無障礙廁所
非付費區，男、女廁",出口3,非付費區，近東側主詢問處及西側置物櫃旁,近出口3、出口8,非付費區，近出口1、出口2、出口3、出口4
76,63000,63000020,國父紀念館,"1.出口電梯：出口3、4中間（臨忠孝東路與光復南路交叉口） 
2.月臺電梯：大廳東側付費區，臨近詢問處",付費區、出口1、出口2、出口3、出口4,非付費區，近出口2、出口4、出口5,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",出口4,非付費區，近出口3、出口2,近出口1、出口5,非付費區，近出口3、出口4、出口5
77,63000,63000020,市政府,"1.出口電梯：出口2（臨基隆路/忠孝東路口）
2.月臺電梯：大廳層西側付費區，臨近詢問處",付費區、出口2、出口3、出口4,非付費區，近出口1、出口2、出口4,非付費區，大廳層，近出口2,"非付費區，哺集乳室
非付費區，親子無障礙廁所
非付費區，男、女廁",出口2,非付費區，近出口1、4,近出口1、出口2、出口4,非付費區，近出口1、出口2
78,63000,63000020,永春,"1.出口電梯：出口5（忠孝東路5段與虎林街交叉口，聯邦銀行旁）
2.月臺電梯：大廳東側付費區，臨近詢問處",付費區、出口1、出口2、出口5,非付費區，近出口,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",出口5,非付費區，近出口2、出口5,近出口1、出口2、出口4,非付費區，近出口3、出口4、出口5
79,63000,63000090,後山埤,"1.出口電梯：出口3（臨忠孝東路6段，玉成街口）
2.月臺電梯：大廳層東側付費區，臨近詢問處",付費區、出口1、出口2、出口3、出口4,非付費區，近出口,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",出口3,非付費區，近出口,近出口1、出口2、出口3、出口4,非付費區，近出口3、出口4
80,63000,63000090,昆陽,月臺電梯：大廳層中間,付費區,非付費區，近出口2、出口4,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口3,非付費區，近出口2,近出口1、出口4,付費區，月臺電梯旁
81,63000,63000090,南港,"1.出口電梯：出口2（臨忠孝東路7段，近極限運動中心）
2.月臺電梯：大廳層東側付費區，鄰近詢問處",付費區、出口1、出口2,非付費區，近出口2,付費區，大廳層,"付費區，親子無障礙廁所
男、女廁",出口2,B1大廳層非付費區，近出口1、2,近出口1、出口2,"非付費區，近出口1
付費區，大廳電梯旁"
82,63000,63000020,象山,"1.出口電梯：
出口1（信義路5段與松勇路口）
出口2（象山公園）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3,非付費區，近出口1、出口3,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口2,非付費區，近出口3,近出口1、出口2、出口3,付費區，近往月臺電梯
83,63000,63000020,台北101/世貿,"1.出口電梯：
出口3（信義路5段南側）
出口5（信義路5段北側、市府路西側）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3、出口4、出口5,非付費區，近出口1、出口3,非付費區，大廳層，近出口4、5,"非付費區，哺集乳室
付費區，親子無障礙廁所
男、女廁",出口4、出口5間,非付費區，近出口2,近出口1、出口2、出口3,"付費區，近往月臺電梯
非付費區，近出口4，往台北101通道"
84,63000,63000030,信義安和,"1.出口電梯：
出口2A(信義路4段與安和路2段路口)
出口5（信義路4段北側與239巷口）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3、出口5,非付費區，近出口1、出口4,無,"付費區，親子無障礙廁所
男、女廁",出口5,非付費區，近出口2,近出口2、出口5,付費區，近往月臺電梯
85,63000,63000030,大安森林公園,"1.出口電梯：
出口4（信義路3段南側、東側光塔）
出口5（信義路3段南側、近建國南路2段）
出口6（信義路3段北側，仁愛路3段24巷東側）
2.月臺電梯：大廳層付費區",付費區、出口2、出口5、出口6,非付費區，近出口1，出口5,非付費區，大廳層，近出口3,"非付費區，哺集乳室
非付費區，親子無障礙廁所
非付費區，男、女廁",出口5,非付費區，近出口2,近出口1、出口2、出口5、出口6 ,"非付費區，近出口3
非付費區，近出口5"
86,63000,63000060,北門,"1.出口電梯：
出口2 （塔城街東側）
出口3 （塔城街與鄭州路口西南隅，於鄭州路上）
 2.月臺電梯：大廳層付費區東、西側",付費區、出口1、出口2、出口3,非付費區，B2大廳層,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",出口1、出口2間,非付費區，北大廳,近出口1、出口2,"非付費區，近出口2
非付費區，近1號詢問處"
87,63000,63000010,台北小巨蛋,"1.出口電梯：
出口1 （臨南京東路4段53巷）
出口2 （南京東路4段近小巨蛋旁）
出口3 （南京東路4段與北寧路交叉口西南隅）
 2.月臺電梯：大廳層中央處",付費區、出口2、出口3,非付費區，近出口2、4,無,"親子無障礙廁所
男、女廁",出口2,非付費區，近出口2,近出口1、出口4,"非付費區，近出口2
付費區，近出口3、出口4"
88,63000,63000010,南京三民,"1.出口電梯：
出口1 （臨南京東路5段）
出口2 （臨南京東路5段）
 2.月臺電梯：大廳層中央處",付費區、出口1、出口2、出口3、出口4,非付費區，近出口,無,"非付費區，親子無障礙廁所
男、女廁",出口1,非付費區，近出口4,近出口1、出口4,"非付費區，近出口2、出口3
付費區，近出口1、出口4"
89,63000,63000010,松山,"1.出口電梯：
出口3（松山區行政中心左側）
出口5（八德路4段近松山國小）
2.月臺電梯：大廳層付費區中央處",付費區、橢圓大廳、出口1、出口2、出口3、出口4、出口5,近出口1、大廳中間,非付費區，大廳層，近出口3,"非付費區，哺集乳室
親子無障礙廁所
男、女廁",出口3,非付費區，近出口5,近出口1、大廳中間,"非付費區，近東側橢圓大廳
付費區，大廳層中央"
90,65000,65000050,輔大,"1.出口電梯：出口1（中正路，近輔大校門）、出口2（福營路，近建國一路口）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3、出口4,非付費區，近出口2、出口3,無,"付費區，親子無障礙廁所
男、女廁",出口1,非付費區，近出口3,近出口1、出口2、出口3、出口4,"非付費區，近出口2
付費區，近往月臺電梯"
91,65000,65000050,新莊,"1.出口電梯：出口1（中正路、中華路口）、出口2（中正路、新莊國中校門旁）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2,非付費區大廳、近出口1,無,"付費區，親子無障礙廁所
男、女廁",出口1,非付費區大廳,近出口1、出口2,"非付費區，近出口1
付費區，近大廳東側"
92,65000,65000050,頭前庄,"1.月臺電梯：
中和新蘆線：大廳層付費區內
環狀線：月臺層北側
2.轉乘電梯：
中和新蘆線：大廳層付費區內
環狀線：大廳層南側","中和新蘆線：付費區、出口2、出口3、出口4
環狀線：付費區","中和新蘆線：非付費區，近出口2、出口4
環狀線：近出口1","環狀線：
付費區，大廳層，近出口1","中和新蘆線：
付費區，親子無障礙廁所
男、女廁
環狀線：
付費區，哺集乳室
付費區，親子無障礙廁所
付費區，男、女廁","近地下道
近出口1","中和新蘆線：非付費區大廳中間
環狀線：非付費區及付費區2處，近出口1","中和新蘆線：近出口2、出口3
環狀線：近出口1","中和新蘆線：
付費區，近出口1
非付費區，近大廳中間
環狀線：
付費區1樓，近出口1
付費區3樓，近1月臺"
93,65000,65000020,先嗇宮,"1.出口電梯：出口1（重新路5段、近光復路口）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2 、出口3,非付費區，近出口1,無,"付費區，親子無障礙廁所
男、女廁",出口2,非付費區，B1層西側大廳,近出口1,付費區，近詢問處
94,65000,65000020,三重,"1.出口電梯：出口1（捷運路、近疏洪東路口及桃園機場捷運三重站）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3,非付費區，近出口1、出口3,無,"付費區，親子無障礙廁所
男、女廁",出口1,非付費區，近出口1,近出口1、出口2、出口3,"非付費區，近出口1
付費區，近往月臺電梯"
95,65000,65000020,菜寮,"1.出口電梯：出口2（重新路3段、近光明街口）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3,非付費區，近出口1,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口1,非付費區，近出口1,近出口1、出口2、出口3,付費區，近出口3
96,65000,65000020,台北橋,"1.出口電梯：單一出口（重新路1段、近文化南路）
2.月臺電梯：大廳層付費區",付費區、出口(單一出口),非付費區，詢問處前方,無,"付費區，親子無障礙廁所
付費區，男、女廁",近出口,非付費區，詢問處前方,近出口,"付費區，近詢問處
付費區，近大廳東側"
97,63000,63000060,大橋頭,"1.出口電梯：出口1後方（民權西路225巷口，近延平北路）
2.月臺電梯：大廳層付費區",付費區、出口1、出口1A、出口2、出口3,非付費區，近出口1、出口2,非付費區，B2大廳層，近出口3,"非付費區，哺集乳室
付費區，親子無障礙廁所
男、女廁",出口1,付費區，近出口3,近出口1、出口3,"非付費區，近出口1
付費區，近出口2、出口3"
98,63000,63000040,中山國小,"1.出口電梯：出口4（民權東路1段中山國小校門旁）
 2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3、出口4,非付費區，近出口3、出口4,無,"付費區，親子無障礙廁所
付費區，男、女廁
非付費區，女廁",出口4,付費區，近出口1、2,近出口3、出口4,"非付費區，近出口4(僅有女廁)
付費區，近出口3、4"
99,63000,63000040,行天宮,"1.出口電梯：出口2（民生東路2段與松江路口東北隅，近松江路235巷）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3、出口4,非付費區，近出口2、出口3,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口3,非付費區，近出口4,近出口2、出口4,付費區，近出口1、出口4
100,63000,63000040,松江南京,"1.出口電梯： 
中和新蘆線：出口2（松江路上，近松江路108巷）、出口8 （松江路上，近松江路124巷）
松山新店線：出口1（臨南京東路）
2.月臺電梯：
中和新蘆線：大廳層南、北側付費區各1臺","中和新蘆線：付費區、出口2、出口3、出口4、出口7、出口8
松山新店線：付費區、出口1","中和新蘆線：非付費區，近出口2、出口4、出口7、出口8
松山新店線：非付費區，近中間大廳","松山新店線：
非付費區，B1大廳層，近出口6、7","中和新蘆線：
付費區，親子無障礙廁所
男、女廁
松山新店線：
非付費區，哺集乳室
非付費區，親子無障礙廁所
非付費區，男、女廁，近出口1、6","中和新蘆線：出口2
松山新店線：出口4、5、6、7間","中和新蘆線：非付費區，近出口2
松山新店線：非付費區，近出口1","中和新蘆線：近出口2、出口4、出口7、出口8
松山新店線：近出口1、大廳中間","中和新蘆線：
非付費區，近出口2
非付費區，近出口5、出口6
付費區，近出口8
松山新店線：
非付費區，近出口1"
101,63000,63000030,東門,"1.出口電梯：出口8（信義路2段，東門郵局旁）
2.月臺電梯：大廳層付費區",付費區、出口1、出口3、出口5、出口7,非付費區，近出口1、出口2、出口4、出口5,非付費區，大廳層，近出口6、7、8,"非付費區，哺集乳室
付費區，親子無障礙廁所
男、女廁",出口1、3間,非付費區，近出口1、出口2,近出口1、出口2、出口3、出口4、出口5、出口6、出口7、出口8,"非付費區，近出口6
付費區，近往月臺電梯"
102,65000,65000140,蘆洲,"1.出口電梯：出口2（捷運廣場）
 2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3,非付費區，近出口2,付費區，大廳層,"付費區，哺集乳室
付費區，親子無障礙廁所
男、女廁",近出口電梯,非付費區，近出口2，B1層大廳往2號電梯通道,近出口1、出口2,"非付費區，近出口1
付費區，近往月臺電梯"
103,65000,65000140,三民高中,"1.出口電梯：出口1（三民路與復興路口西南隅）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2 ,非付費區，近出口2,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口1,非付費區，B4層往出口二通道上,近出口1、出口2,付費區，近出口2
104,65000,65000140,徐匯中學,"1.出口電梯：出口2（三和路4段與永安北路口）
 2.月臺電梯：大廳層西側付費區",付費區、出口1、出口2,非付費區，近出口1、出口2,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",近詢問處,非付費區東大廳，近出口2,近出口1、出口2,非付費區，近出口1
105,65000,65000020,三和國中,"1.出口電梯：出口1（三和路4段三和國中校門旁）
 2.月臺電梯：大廳層付費區",付費區、出口1、出口2,非付費區，近出口1、出口2,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口2,'非付費區，近出口2,近出口1、出口2,付費區，近往月臺電梯
106,65000,65000020,三重國小,"1.出口電梯：三和路3段與仁愛街口
2.月臺電梯：大廳層付費區",付費區、出口(單一出口),非付費區，近出口,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",近出口,非付費區，近出口,近出口,非付費區，近出口
107,65000,65000050,迴龍,"1.出口電梯：出口1（中正路北側，往迴龍方向）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2、出口3,非付費區，近出口1、出口3,付費區，大廳層,"付費區，哺集乳室
付費區，親子無障礙廁所
付費區，男、女廁",出口1,非付費區西大廳,近出口1、出口3,付費區，近往月臺電梯
108,65000,65000050,丹鳳,"1.出口電梯：出口2（中正路與民安路口）
2.月臺電梯：大廳層付費區",付費區、出口1、出口2,非付費區，近出口1,無,"付費區，親子無障礙廁所
付費區，男、女廁",出口2,非付費區，近出口2,近出口1、出口2,付費區，近大廳東側
109,65000,65000060,十四張,"1.出口電梯：單一出口
2.月臺電梯：近詢問處",付費區、出口1、聯開出口,非付費區大廳，近詢問處,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",非付費區，近出口,付費區，近一月台電扶梯、非付費區大廳，近詢問處,近出口,非付費區，近出口
110,65000,65000030,秀朗橋,"1.出口電梯：出口2
2.月臺電梯：月臺層中央",出口1、付費區、月台,非付費區，近詢問處,付費區，4F月台層,"付費區，哺集乳室
付費區，親子無障礙廁所
付費區，男、女廁",非付費區，近出口2,近詢問處,近出口1,付費區，近大廳電梯
111,65000,65000030,景平,"1.出口電梯：單一出口
2.月臺電梯：月臺層中央",付費區、非付費區、出口處,非付費區，詢問處旁,無,"非付費區，親子無障礙廁所
非付費區，男、女廁",非付費區，近出口，4樓大廳層,非付費區，大廳層,近出口,"非付費區，近出口，4樓大廳層"
112,65000,65000030,中和,"1.出口電梯：單一出口
2.月臺電梯：近詢問處",付費區,非付費區，近出口,無,"付費區，親子無障礙廁所
付費區，男、女廁",非付費區，近出口,付費區，近閘門,近出口,付費區，近3F電梯
