Line,Station_Number,Station_Name,Station_Form,PAO,Elevator_and_Wheelchair_Ramps,Ticket_Gates_for_the_Disabled,Toilet_Facilities_for_Disabled,Reserved_Spaces_for_Wheelchairs,Doors_Open_Side,Elevator,Anti_slip_Strips,Train_Destination_Announcements,Public_Address_System,Priority_Seats_for_Visually_Impaired_Passengers,Tactile_Guide_Paths_quantity,Passenger_Information_Display_Systems_count,door_indicator_light_count,Train_Passenger_Information_Systems_quantity,1999_Sign_Language_Service_quantity
文湖線/板南線,BR24/BL23,南港展覽館站,【文湖線】高架。【板南線】地下。,【文湖線】大廳層(1樓)，近出口2。【板南線】大廳層(B2)，近出口5。,【文湖線】出口1、出口2。【板南線】出口5、6中間、2A出口。,【文湖線】1F主詢問處旁、1F簡易詢問處旁、B1簡易詢問處旁。【板南線】主詢問處旁。,【文湖線】非付費區(B1)，近出口1；非付費區，近出口2、4站外(配合展覽館活動開放使用)；付費區(1樓)，近出口2、4之間。【板南線】轉乘通道層(B1)，近出口5；非付費區(B2)，近出口5；付費區(B2)，大廳電梯旁,【文湖線】第1節、第4節車廂。【板南線】第1節、第6節車廂。,【文湖線】左側開門。【板南線】左側開門，右側開門。,有,有,有,有,無,0,1,1,1,0
松山新店線,G03A,小碧潭站,高架,大廳層(4樓)，近出口1,出口1、出口2,主詢問處旁,非付費區(4樓)，近出口1；付費區(4樓)閘門旁,第1節、第3節車廂,右側開門。,有,有,有,有,月臺前端,出口電梯--大廳無障礙閘門--月臺(註：出口2無導盲磚設施),1,1,1,0
松山新店線,G01,新店站,地下,大廳層(1樓)，近出口,單一出口,主詢問處旁,非付費區(1樓)，客運轉運站旁；付費區(1樓)，往月臺電梯旁,第1節、第6節車廂,左側開門。右側開門。,有,有,有,有,無,大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
松山新店線,G02,新店區公所站,地下,大廳層(1樓)，近出口1,出口1,主詢問處旁,付費區(1樓)，大廳層電扶梯旁,第1節、第6節車廂,右側開門。,有,有,有,有,無,大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
松山新店線,G03,七張站,地下,大廳層(1樓)，近出口1,出口1,主詢問處旁,付費區(1樓)，大廳層電扶梯旁,第1節、第6節車廂【往小碧潭列車(二月臺)-第1節、第3節車廂】,右側開門。,有,有,有,有,二月臺前端,大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
松山新店線/環狀線,G04/Y07,大坪林站,【松山新店線】/【環狀線】地下,【松山新店線】大廳層(B1)，近出口3、4。【環狀線】大廳層(B1)，近出口5。,【松山新店線】出口3。【環狀線】出口5。,主詢問處旁,【松山新店線】非付費區(B1)，近出口3、4。【環狀線】付費區(B1)，松山新店線及環狀線轉乘通道旁。,【松山新店線】第1節、第6節車廂。【環狀線】第1節、第4節車廂。,左側開門。,有,有,有,有,無,【松山新店線】/【環狀線】出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
松山新店線,G05,景美站,地下,大廳層(B1)，近出口1,出口1,主詢問處旁,非付費區(B1)，近出口1,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
松山新店線,G06,萬隆站,地下,大廳層(B1)，近出口3,出口4,主詢問處旁,非付費區(B1)，近出口3、4,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
松山新店線,G07,公館站,地下,大廳層(B1)，近出口1、2,出口1、出口2,主詢問處旁,非付費區(B1)，近出口1、2,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
松山新店線,G08,台電大樓站,地下,大廳層(B1)，近出口3,出口5,主詢問處旁,非付費區(B1)，近出口3、4,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
中和新蘆線/松山新店線,O05/G09,古亭站,地下,大廳層(B1)，近出口1、2、3、4；大廳層(B1)，近出口5、6、7、8、9,出口1,主詢問處旁,非付費區(B1)，近出口1、2、3、4,第1節、第6節車廂,【中和新蘆線】往蘆洲、迴龍-左側開門，往南勢角-右側開門。【松山新店線】往松山-右側開門，往新店-左側開門。,有,有,有,有,【中和新蘆線】四月臺前端。【松山新店線】一、三月臺前端。,【中和新蘆線】/【松山新店線】出口電梯--大廳無障礙閘門-月臺電梯-月臺,1,1,1,0
松山新店線/淡水信義線,G10/R08,中正紀念堂站,地下,大廳層(B1)，近出口2、3、4；大廳層(B1)，近出口5、6、7,出口1、出口5,主詢問處旁,非付費區(B1)，近出口2、3、4；非付費區(B1)，近出口5、6、7,第1節、第6節車廂,【淡水信義線】往淡水-左側開門，往象山、大安-右側開門。【松山新店線】往松山-右側開門，往新店-左側開門。,有,有,有,有,【松山新店線】二、四月臺前端。【淡水信義線】一、三月臺前端。,【松山新店線】/【淡水信義線】出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
松山新店線,G11,小南門站,地下,大廳層(B1)，近出口3、4,出口3及出口4中間,主詢問處旁,非付費區(B1)，近出口3、4,第1節、第6節車廂,左側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
中和新蘆線,O04,頂溪站,地下,大廳層(B3)，近出口1,出口1,主詢問處旁,非付費區(B3)，近出口1,第1節、第6節車廂,左側開門。,有,有,有,有,一月臺前端,出口電梯--大廳無障礙閘門-月臺電梯-月臺,1,1,1,0
中和新蘆線,O03,永安市場站,地下,大廳層(B2)，近出口,單一出口,主詢問處旁,付費區(B2)，近閘門區,第1節、第6節車廂,往蘆洲、迴龍-右側開門。往南勢角-左側開門。,有,有,有,有,一月臺前端,出口電梯--大廳無障礙閘門-月臺電梯-月臺,1,1,1,0
